ReportDate	subj	cnt_client_tid	sum_trans_cnt	main_ind	main_ind_sum	main_ind_median	main_ind_avg	main_ind_procentile_10	main_ind_procentile_90	main_ind_max	main_ind_min	main_ind_sd	main_ind_descr	secondary1_ind_sum	secondary1_ind_median	secondary1_ind_avg	secondary1_ind_procentile_10	secondary1_ind_procentile_90	secondary1_ind_max	secondary1_ind_min	secondary1_ind_descr	secondary1_ind_sd	secondary2_ind_sum	secondary2_ind_median	secondary2_ind_avg	secondary2_ind_procentile_10	secondary2_ind_procentile_90	secondary2_ind_max	secondary2_ind_min	secondary2_ind_sd	secondary2_ind_descr	population_time
11-15-2013	Россия	?	?	1000675,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
12-15-2013	Россия	?	?	1103781,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
01-15-2014	Россия	?	?	526412,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
02-15-2014	Россия	?	?	815619,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
03-15-2014	Россия	?	?	846748,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
04-15-2014	Россия	?	?	1021656,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
05-15-2014	Россия	?	?	956861,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
06-15-2014	Россия	?	?	943657,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
07-15-2014	Россия	?	?	1072903,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
08-15-2014	Россия	?	?	1034128,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
09-15-2014	Россия	?	?	911897,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
10-15-2014	Россия	?	?	929318,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
11-15-2014	Россия	?	?	806197,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
12-15-2014	Россия	?	?	896531,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
01-15-2015	Россия	?	?	264938,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
02-15-2015	Россия	?	?	342134,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
03-15-2015	Россия	?	?	407710,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
04-15-2015	Россия	?	?	546438,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
05-15-2015	Россия	?	?	504287,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
06-15-2015	Россия	?	?	969982,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
07-15-2015	Россия	?	?	1019089,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
08-15-2015	Россия	?	?	891671,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
09-15-2015	Россия	?	?	816217,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
10-15-2015	Россия	?	?	789457,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
11-15-2015	Россия	?	?	707114,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
12-15-2015	Россия	?	?	980369,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
01-15-2016	Россия	?	?	579791,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
02-15-2016	Россия	?	?	644253,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
03-15-2016	Россия	?	?	754960,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
04-15-2016	Россия	?	?	846514,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
05-15-2016	Россия	?	?	852801,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
06-15-2016	Россия	?	?	928216,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
07-15-2016	Россия	?	?	922437,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
08-15-2016	Россия	?	?	1012085,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
09-15-2016	Россия	?	?	894918,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
10-15-2016	Россия	?	?	855451,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
11-15-2016	Россия	?	?	874404,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
12-15-2016	Россия	?	?	1019534,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
01-15-2017	Россия	?	?	696232,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
02-15-2017	Россия	?	?	723916,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
03-15-2017	Россия	?	?	955686,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
04-15-2017	Россия	?	?	849827,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
05-15-2017	Россия	?	?	902027,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
06-15-2017	Россия	?	?	1040206,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
07-15-2017	Россия	?	?	958766,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
08-15-2017	Россия	?	?	1065718,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
09-15-2017	Россия	?	?	913338,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
10-15-2017	Россия	?	?	965363,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
11-15-2017	Россия	?	?	990385,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
12-15-2017	Россия	?	?	1143893,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
01-15-2018	Россия	?	?	902906,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
02-15-2018	Россия	?	?	975725,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 15:06:41
03-15-2018	Россия	?	?	1162865,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
04-15-2018	Россия	?	?	1249665,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
05-15-2018	Россия	?	?	1220273,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
06-15-2018	Россия	?	?	1308350,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
07-15-2018	Россия	?	?	1387368,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
08-15-2018	Россия	?	?	1478335,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
09-15-2018	Россия	?	?	1400647,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
10-15-2018	Россия	?	?	1468406,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
11-15-2018	Россия	?	?	973613,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.12.2018 13:53:24
01-15-2013	UNKNOWN	?	?	7276,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
02-15-2013	UNKNOWN	?	?	4420,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
03-15-2013	UNKNOWN	?	?	5004,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
04-15-2013	UNKNOWN	?	?	6609,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
05-15-2013	UNKNOWN	?	?	6284,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
06-15-2013	UNKNOWN	?	?	4075,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
07-15-2013	UNKNOWN	?	?	4378,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
08-15-2013	UNKNOWN	?	?	3813,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
09-15-2013	UNKNOWN	?	?	3001,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
10-15-2013	UNKNOWN	?	?	4030,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
11-15-2013	UNKNOWN	?	?	4519,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
12-15-2013	UNKNOWN	?	?	4149,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
01-15-2014	UNKNOWN	?	?	1879,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
02-15-2014	UNKNOWN	?	?	2952,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
03-15-2014	UNKNOWN	?	?	2707,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
04-15-2014	UNKNOWN	?	?	2325,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
05-15-2014	UNKNOWN	?	?	1319,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
06-15-2014	UNKNOWN	?	?	1031,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
07-15-2014	UNKNOWN	?	?	903,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
08-15-2014	UNKNOWN	?	?	871,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
09-15-2014	UNKNOWN	?	?	651,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
10-15-2014	UNKNOWN	?	?	694,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
11-15-2014	UNKNOWN	?	?	722,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
12-15-2014	UNKNOWN	?	?	985,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
01-15-2015	UNKNOWN	?	?	339,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
02-15-2015	UNKNOWN	?	?	411,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
03-15-2015	UNKNOWN	?	?	406,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
04-15-2015	UNKNOWN	?	?	621,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
05-15-2015	UNKNOWN	?	?	432,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
06-15-2015	UNKNOWN	?	?	846,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
07-15-2015	UNKNOWN	?	?	1040,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
08-15-2015	UNKNOWN	?	?	872,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
09-15-2015	UNKNOWN	?	?	582,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
10-15-2015	UNKNOWN	?	?	841,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
11-15-2015	UNKNOWN	?	?	332,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
12-15-2015	UNKNOWN	?	?	519,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
01-15-2016	UNKNOWN	?	?	266,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
02-15-2016	UNKNOWN	?	?	279,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
03-15-2016	UNKNOWN	?	?	327,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
04-15-2016	UNKNOWN	?	?	197,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
05-15-2016	UNKNOWN	?	?	172,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
06-15-2016	UNKNOWN	?	?	254,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
07-15-2016	UNKNOWN	?	?	446,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
08-15-2016	UNKNOWN	?	?	404,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
09-15-2016	UNKNOWN	?	?	312,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
10-15-2016	UNKNOWN	?	?	265,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
11-15-2016	UNKNOWN	?	?	352,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
12-15-2016	UNKNOWN	?	?	387,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
01-15-2017	UNKNOWN	?	?	430,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
02-15-2017	UNKNOWN	?	?	775,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
03-15-2017	UNKNOWN	?	?	3171,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
04-15-2017	UNKNOWN	?	?	2838,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
05-15-2017	UNKNOWN	?	?	3307,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
06-15-2017	UNKNOWN	?	?	4199,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
07-15-2017	UNKNOWN	?	?	3779,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
08-15-2017	UNKNOWN	?	?	4203,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	05.07.2018 14:39:06
